地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度'],['Nandini Reddy'],['157'],[],"['萨曼莎·鲁斯·帕布', 'Rajendra Prasad', 'Lakshmi']",['超龄少女 Oh Baby...'],"['剧情', '歌舞', '奇幻']",['8.4'],['558'],[' 泰卢固语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['666997'],[' 印地语 / 英语']
[' 印度'],['卓娅·阿赫塔尔'],['153'],[],"['兰维尔·辛格', '阿莉雅·布哈特', '希坦特·查杜尔韦迪', '维贾伊·拉齐', '阿姆鲁塔·苏巴什', '维杰·维玛', '卡琪·柯切林', '伊赫拉·克汗', '谢巴·查达', '乔蒂·苏巴', '拉胡尔·皮斯克', '纳库尔·萨赫德娃', '舒蒂·乔汉', '艾西瓦娅·德赛', '库布拉·萨特', '索纳利·萨查德夫']",['印度有嘻哈 गली बॉय'],"['剧情', '音乐']",['7.5'],['3926'],[' 印地语']
[' 法国 / 印度'],['肯·斯科特'],['92'],['05'],"['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂', '热拉尔·朱尼奥', '本·米勒', '阿贝尔·贾夫里', '莎拉·珍妮·拉布罗丝', '凯·葛利丹努', '阿姆鲁塔·桑特', '希玛·比斯瓦斯', '克里斯蒂安·布朗查特', '斯特凡诺·卡塞蒂', '乌瓦曼古·科内利斯', '甘达夫·德万', '埃德温·吉莱特', '奥姆卡·凯特卡', '波林·马雷查尔', '丹尼勒·尼西', '哈蒂·辛格', '玛尔·索度佩']",['衣柜里的冒险王 The Extraordinary Journey of The Fakir'],"['喜剧', '冒险']",['7.0'],['7749'],[' 英语 / 印度语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度'],['Nandini Reddy'],['157'],[],"['萨曼莎·鲁斯·帕布', 'Rajendra Prasad', 'Lakshmi']",['超龄少女 Oh Baby...'],"['剧情', '歌舞', '奇幻']",['8.4'],['558'],[' 泰卢固语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['666997'],[' 印地语 / 英语']
[' 印度'],['卓娅·阿赫塔尔'],['153'],[],"['兰维尔·辛格', '阿莉雅·布哈特', '希坦特·查杜尔韦迪', '维贾伊·拉齐', '阿姆鲁塔·苏巴什', '维杰·维玛', '卡琪·柯切林', '伊赫拉·克汗', '谢巴·查达', '乔蒂·苏巴', '拉胡尔·皮斯克', '纳库尔·萨赫德娃', '舒蒂·乔汉', '艾西瓦娅·德赛', '库布拉·萨特', '索纳利·萨查德夫']",['印度有嘻哈 गली बॉय'],"['剧情', '音乐']",['7.5'],['3926'],[' 印地语']
[' 法国 / 印度'],['肯·斯科特'],['92'],['05'],"['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂', '热拉尔·朱尼奥', '本·米勒', '阿贝尔·贾夫里', '莎拉·珍妮·拉布罗丝', '凯·葛利丹努', '阿姆鲁塔·桑特', '希玛·比斯瓦斯', '克里斯蒂安·布朗查特', '斯特凡诺·卡塞蒂', '乌瓦曼古·科内利斯', '甘达夫·德万', '埃德温·吉莱特', '奥姆卡·凯特卡', '波林·马雷查尔', '丹尼勒·尼西', '哈蒂·辛格', '玛尔·索度佩']",['衣柜里的冒险王 The Extraordinary Journey of The Fakir'],"['喜剧', '冒险']",['7.0'],['7749'],[' 英语 / 印度语']
