地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 德国 / 意大利'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],['189'],"['09', '10']","['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']",['无主之作 Werk ohne Autor'],['剧情'],['8.6'],['46460'],[' 德语 / 俄语']
[' 意大利 / 法国 / 德国'],['皮耶特罗·马切罗'],['129'],[],"['卢卡·马里内利', '杰西卡·塞西', '文森佐·内莫拉托', '马克·莱昂纳蒂', '丹妮丝·萨迪斯科', '卡门·波梅拉', '卡洛·切基', '奥蒂莉亚·拉涅利', '伊丽莎白·瓦尔古', '彼得罗·拉古萨', '萨维诺·帕帕雷拉', '文琴察·莫迪卡', '查士丁尼·阿尔皮', '朱塞佩·伊利亚诺', '佩佩·马吉奥', '毛里齐奥·多纳多尼', '加埃塔诺·布鲁诺', '阿涅洛·阿雷纳', '琪娅拉·弗兰西妮', '里纳特·希什马塔林']",['马丁·伊登 Martin Eden'],['剧情'],['8.0'],['6362'],[' 意大利语 / 那不勒斯语 / 法语']
[' 法国 / 比利时 / 德国'],['米歇尔·欧斯洛'],['94'],"['06', '10']","['普鲁内尔·查尔斯·安布隆', '恩佐·拉齐托', '纳塔莉·德赛', '布鲁诺·帕维奥', '杰里米·洛佩兹', '哈里森·阿雷瓦洛', '尼古拉斯·潘切瓦', '蒂莎·达维拉·本萨拉', '米歇尔·伊莱亚斯', '帕斯卡尔·佩斯特尔', '保罗·班迪', '伊莎贝尔·嘉德', '莉莲娜·罗维埃', '卡里姆·姆里巴', '奥利维耶·克拉弗里', '伊丽莎白·杜达']",['迪丽丽的奇幻巴黎 Dilili à Paris'],['动画'],['7.9'],['4704'],[' 法语']
[' 瑞典 / 德国 / 挪威'],['罗伊·安德森'],['78'],[],"['Bengt Bergius', 'Anja Broms ', 'Marie Burman', 'Amanda Davies', 'Tatiana Delaunay', 'Karin Engman', 'Jan-Eje Ferling', 'Thore Flygel', 'Lotta Forsberg', '安东·福斯蒂克', 'Fanny Forsdik', 'Anders Hellström', 'Göran Holm', 'Stefan Karlsson', 'Jessica Louthander', 'Lars Lundgren']",['关于无尽 Om det oändliga'],['剧情'],['7.4'],['4208'],[' 瑞典语']
[' 德国'],['弗洛里安·大卫·菲茨'],['111'],['12'],"['弗洛里安·大卫·菲茨', '马提亚斯·施维赫夫', '米里亚姆·斯坦因', '汉内洛勒·埃尔斯纳', '卡特琳娜·塔巴赫', '约翰尼斯·艾麦亚', '马克西米利安·梅耶-布雷泽内德', '玛利亚·佛万格勒', '沃尔夫冈·斯塔姆普', 'Sarah Victoria Frick', 'Artjom Gilz', '丹尼尔·弗利格', 'Milo Eisenblätter', 'Nora Boeckler']",['一百样东西 100 Dinge'],['喜剧'],['7.3'],['7001'],[' 德语 / 英语 / 芬兰语']
[' 英国 / 美国 / 德国'],['詹姆斯·肯特'],['108'],[],"['亚历山大·斯卡斯加德', '凯拉·奈特莉', '杰森·克拉克', '凯特·菲利普斯', '费昂·奥谢', '雅尼克·许曼', '亚历山大·谢尔', '吉姆·海伊', '弗雷德里克·普雷斯顿', '汤姆·贝尔', 'Abigail Rice', 'Logan Hillier', 'Flora Thiemann', 'Joseph Arkley', '克劳迪娅·瓦西科娃']",['余波 The Aftermath'],"['剧情', '爱情', '战争']",['6.6'],['5075'],[' 英语']
[' 罗马尼亚 / 法国 / 德国 / 瑞典'],['柯内流·波蓝波宇'],['97'],[],"['弗拉德·伊凡诺夫', '卡特里内尔·马龙', '罗迪卡·拉泽尔', '阿古斯丁·比利亚龙加', '萨宾·塔布瑞亚', 'István Teglas', 'Cristóbal Pinto', 'Antonio Buíl', 'George Pistereanu', 'David Agranov', 'Andrei Barbu', 'Andrei Ciopec', 'Sergiu Costache', 'Julieta Szönyi']",['戈梅拉岛 La Gomera'],"['喜剧', '犯罪']",['6.4'],['1718'],[' 罗马尼亚语 / 英语 / 西班牙语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 德国 / 意大利'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],['189'],"['09', '10']","['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']",['无主之作 Werk ohne Autor'],['剧情'],['8.6'],['46460'],[' 德语 / 俄语']
[' 意大利 / 法国 / 德国'],['皮耶特罗·马切罗'],['129'],[],"['卢卡·马里内利', '杰西卡·塞西', '文森佐·内莫拉托', '马克·莱昂纳蒂', '丹妮丝·萨迪斯科', '卡门·波梅拉', '卡洛·切基', '奥蒂莉亚·拉涅利', '伊丽莎白·瓦尔古', '彼得罗·拉古萨', '萨维诺·帕帕雷拉', '文琴察·莫迪卡', '查士丁尼·阿尔皮', '朱塞佩·伊利亚诺', '佩佩·马吉奥', '毛里齐奥·多纳多尼', '加埃塔诺·布鲁诺', '阿涅洛·阿雷纳', '琪娅拉·弗兰西妮', '里纳特·希什马塔林']",['马丁·伊登 Martin Eden'],['剧情'],['8.0'],['6362'],[' 意大利语 / 那不勒斯语 / 法语']
[' 法国 / 比利时 / 德国'],['米歇尔·欧斯洛'],['94'],"['06', '10']","['普鲁内尔·查尔斯·安布隆', '恩佐·拉齐托', '纳塔莉·德赛', '布鲁诺·帕维奥', '杰里米·洛佩兹', '哈里森·阿雷瓦洛', '尼古拉斯·潘切瓦', '蒂莎·达维拉·本萨拉', '米歇尔·伊莱亚斯', '帕斯卡尔·佩斯特尔', '保罗·班迪', '伊莎贝尔·嘉德', '莉莲娜·罗维埃', '卡里姆·姆里巴', '奥利维耶·克拉弗里', '伊丽莎白·杜达']",['迪丽丽的奇幻巴黎 Dilili à Paris'],['动画'],['7.9'],['4704'],[' 法语']
[' 瑞典 / 德国 / 挪威'],['罗伊·安德森'],['78'],[],"['Bengt Bergius', 'Anja Broms ', 'Marie Burman', 'Amanda Davies', 'Tatiana Delaunay', 'Karin Engman', 'Jan-Eje Ferling', 'Thore Flygel', 'Lotta Forsberg', '安东·福斯蒂克', 'Fanny Forsdik', 'Anders Hellström', 'Göran Holm', 'Stefan Karlsson', 'Jessica Louthander', 'Lars Lundgren']",['关于无尽 Om det oändliga'],['剧情'],['7.4'],['4208'],[' 瑞典语']
[' 德国'],['弗洛里安·大卫·菲茨'],['111'],['12'],"['弗洛里安·大卫·菲茨', '马提亚斯·施维赫夫', '米里亚姆·斯坦因', '汉内洛勒·埃尔斯纳', '卡特琳娜·塔巴赫', '约翰尼斯·艾麦亚', '马克西米利安·梅耶-布雷泽内德', '玛利亚·佛万格勒', '沃尔夫冈·斯塔姆普', 'Sarah Victoria Frick', 'Artjom Gilz', '丹尼尔·弗利格', 'Milo Eisenblätter', 'Nora Boeckler']",['一百样东西 100 Dinge'],['喜剧'],['7.3'],['7001'],[' 德语 / 英语 / 芬兰语']
