地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利'],[],[],['09'],"['莫妮卡·贝鲁奇', '伊莎贝拉·罗西里尼', '卡拉·布吕尼', '伊娃·赫兹格瓦', '海伦娜·克里斯坦森', '芭芭拉·帕尔文', '莎拉·桑帕约', '艾米丽·拉塔科斯基', 'Brandon Thomas Lee', '卡梅隆·达拉斯', '斯特拉·麦克斯韦', '凯勒·莱恩', 'Sierra Dallas', '布鲁娜·马尔科辛', '玛丽娜·辉·巴尔博萨', '迪丽热巴', '崔素拉', '刘春杰', '梅根·考莉森', '贺聪', '凯伦·艾尔森', '阿什利·格雷厄姆', '唐赫', '黛薇卡·霍内', '刘欢', '郑秀妍', '康思佳']",['杜嘉班纳2019春夏女装秀 Dolce&amp;Gabbana: Spring/Summer 2019 Women&#39;s Fashion Show'],['真人秀'],['9.1'],['1266'],[' 无对白']
[' 德国 / 意大利'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],['189'],"['09', '10']","['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']",['无主之作 Werk ohne Autor'],['剧情'],['8.6'],['46460'],[' 德语 / 俄语']
[' 英国 / 意大利'],['费尔南多·梅里尔斯'],['125'],[],"['安东尼·霍普金斯', '乔纳森·普雷斯', '胡安·米努欣', '路易斯·尼科', '克里斯蒂娜·巴尼加斯', '玛丽亚·乌斯多', '雷纳托·斯卡帕', '西德尼·科尔', '阿基里·布鲁尼尼', '费德里科·托瑞', '赫尔曼·德·席尔瓦', '利桑德罗·菲克斯', '利贝罗·德·瑞恩佐', '威利·乔纳', '索非亚·塞萨克', '文森特·里奥特', '塞奇莉亚·达齐', '塞尔吉奥·尼古拉', '洛伦佐·维格万诺', '教皇本尼迪克特十六世', '方济各']",['教宗的承继 The Two Popes'],"['剧情', '传记']",['8.6'],['33489'],[' 拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语']
[' 意大利 / 法国 / 德国'],['皮耶特罗·马切罗'],['129'],[],"['卢卡·马里内利', '杰西卡·塞西', '文森佐·内莫拉托', '马克·莱昂纳蒂', '丹妮丝·萨迪斯科', '卡门·波梅拉', '卡洛·切基', '奥蒂莉亚·拉涅利', '伊丽莎白·瓦尔古', '彼得罗·拉古萨', '萨维诺·帕帕雷拉', '文琴察·莫迪卡', '查士丁尼·阿尔皮', '朱塞佩·伊利亚诺', '佩佩·马吉奥', '毛里齐奥·多纳多尼', '加埃塔诺·布鲁诺', '阿涅洛·阿雷纳', '琪娅拉·弗兰西妮', '里纳特·希什马塔林']",['马丁·伊登 Martin Eden'],['剧情'],['8.0'],['6362'],[' 意大利语 / 那不勒斯语 / 法语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利'],[],[],['09'],"['莫妮卡·贝鲁奇', '伊莎贝拉·罗西里尼', '卡拉·布吕尼', '伊娃·赫兹格瓦', '海伦娜·克里斯坦森', '芭芭拉·帕尔文', '莎拉·桑帕约', '艾米丽·拉塔科斯基', 'Brandon Thomas Lee', '卡梅隆·达拉斯', '斯特拉·麦克斯韦', '凯勒·莱恩', 'Sierra Dallas', '布鲁娜·马尔科辛', '玛丽娜·辉·巴尔博萨', '迪丽热巴', '崔素拉', '刘春杰', '梅根·考莉森', '贺聪', '凯伦·艾尔森', '阿什利·格雷厄姆', '唐赫', '黛薇卡·霍内', '刘欢', '郑秀妍', '康思佳']",['杜嘉班纳2019春夏女装秀 Dolce&amp;Gabbana: Spring/Summer 2019 Women&#39;s Fashion Show'],['真人秀'],['9.1'],['1266'],[' 无对白']
[' 德国 / 意大利'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],['189'],"['09', '10']","['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']",['无主之作 Werk ohne Autor'],['剧情'],['8.6'],['46460'],[' 德语 / 俄语']
[' 英国 / 意大利'],['费尔南多·梅里尔斯'],['125'],[],"['安东尼·霍普金斯', '乔纳森·普雷斯', '胡安·米努欣', '路易斯·尼科', '克里斯蒂娜·巴尼加斯', '玛丽亚·乌斯多', '雷纳托·斯卡帕', '西德尼·科尔', '阿基里·布鲁尼尼', '费德里科·托瑞', '赫尔曼·德·席尔瓦', '利桑德罗·菲克斯', '利贝罗·德·瑞恩佐', '威利·乔纳', '索非亚·塞萨克', '文森特·里奥特', '塞奇莉亚·达齐', '塞尔吉奥·尼古拉', '洛伦佐·维格万诺', '教皇本尼迪克特十六世', '方济各']",['教宗的承继 The Two Popes'],"['剧情', '传记']",['8.6'],['33489'],[' 拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语']
[' 意大利 / 法国 / 德国'],['皮耶特罗·马切罗'],['129'],[],"['卢卡·马里内利', '杰西卡·塞西', '文森佐·内莫拉托', '马克·莱昂纳蒂', '丹妮丝·萨迪斯科', '卡门·波梅拉', '卡洛·切基', '奥蒂莉亚·拉涅利', '伊丽莎白·瓦尔古', '彼得罗·拉古萨', '萨维诺·帕帕雷拉', '文琴察·莫迪卡', '查士丁尼·阿尔皮', '朱塞佩·伊利亚诺', '佩佩·马吉奥', '毛里齐奥·多纳多尼', '加埃塔诺·布鲁诺', '阿涅洛·阿雷纳', '琪娅拉·弗兰西妮', '里纳特·希什马塔林']",['马丁·伊登 Martin Eden'],['剧情'],['8.0'],['6362'],[' 意大利语 / 那不勒斯语 / 法语']
