地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['石原立也'],['100'],[],"['黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '石谷春贵', '藤村鼓乃美', '山冈百合', '津田健次郎', '小堀幸', '雨宫天', '七濑彩夏', '久野美咲', '土屋神叶', '寿美菜子', '樱井孝宏']",['吹响悠风号剧场版：誓言的终章 劇場版 響け！ユーフォニアム～誓いのフィナーレ～'],['动画'],['9.2'],['3823'],[' 日语']
[' 日本'],['外崎春雄'],['113'],[],"['大塚芳忠', '梶裕贵', '加隈亚衣', '冈本信彦', '森川智之', '浪川大辅', '山崎巧', '绿川光', '子安武人', '井泽诗织', '悠木碧']",['鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆'],"['动作', '动画', '惊悚', '奇幻']",['9.1'],['9876'],[' 日语']
[' 日本'],[],['75'],[],"['松重丰', '安藤樱', '宇梶刚士', '六平直政']",['孤独的美食家 2019除夕特别篇 孤独のグルメ 2019大晦日スペシャル'],['剧情'],['8.8'],['2825'],[' 日语']
[' 日本'],['加藤拓'],['73'],[],"['松田龙平', '冈部崇', '中村友理', '奈绪', '金世佳', '任洛敏', '邱必昌']",['异乡人：上海的芥川龙之介 ストレンジャー～上海の芥川龍之介～'],"['剧情', '传记']",['8.6'],['9842'],[' 日语']
[' 日本'],['石原立也'],['94'],['01'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],"['喜剧', '爱情', '动画']",['8.6'],['5421'],[' 日语 / 意大利语']
[' 日本'],['大根仁'],['119'],['08'],"['筱原凉子', '广濑铃', '板谷由夏', '小池荣子', '友坂理惠', '渡边直美', '池田依来沙', '山本舞香', '野田美櫻', '田边桃子', '富田望生', '三浦春马', '中川雅也', '新井浩文', '矢本悠马']",['阳光姐妹淘 SUNNY 強い気持ち・強い愛'],"['剧情', '喜剧', '歌舞']",['8.3'],['40392'],[' 日语']
[' 日本'],['吉见拓真  '],['74'],[],"['木村文乃', '近藤正臣']",['在京都小住 ちょこっと京都に住んでみた。'],"['剧情', '家庭']",['8.1'],['5322'],[' 日语']
[' 日本'],[],['45'],[],"['原田知世', '田中圭', '浅香航大', '皆川猿时']",['轮到你了 特别篇 あなたの番です 特別編'],"['剧情', '悬疑']",['8.0'],['23795'],[' 日语']
[' 日本'],['石田祐康'],['117'],['08'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['企鹅公路 ペンギン・ハイウェイ'],"['动画', '奇幻', '冒险']",['7.8'],['35053'],[' 日语']
[' 日本'],['山崎贵'],['130'],[],"['菅田将晖', '馆博', '滨边美波', '柄本佑', '小林克也', '小日向文世', '国村隼', '桥爪功', '田中泯']",['阿基米德大战 アルキメデスの大戦'],"['剧情', '战争']",['7.5'],['7541'],[' 日语']
[' 日本 / 法国'],['滨口龙介'],['119'],"['05', '09']","['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['20375'],[' 日语']
[' 日本'],['箱田优子'],['92'],[],"['夏帆', '沈恩京', '渡边大知', '中山裕介', '黑田大辅', '岛田久作', '南果步']",['在蓝色时分飞翔 ブルーアワーにぶっ飛ばす'],['剧情'],['7.2'],['1557'],[' 日语']
[' 日本'],['今泉力哉'],['123'],['10'],"['岸井雪乃', '成田凌']",['爱情是什么 愛がなんだ'],"['剧情', '爱情']",['7.1'],['5873'],[' 日语']
[' 日本'],['盐谷直义'],['59'],[],"['野岛健儿', '佐仓绫音', '弓场沙织', '平井祥惠', '冈宽惠', '小山力也', '齐藤贵美子', '多田野曜平', '中川庆一', '花泽香菜', '东地宏树', '樱井孝宏', '伊藤静', '泽城美雪']",['心理测量者SS1：罪与罚 PSYCHO-PASS サイコパス Sinners of the System Case.1「罪と罰」'],"['动作', '动画', '犯罪']",['7.1'],['2907'],[' 日语']
[' 日本'],['盐田明彦'],['116'],[],"['小松菜奈', '门胁麦', '成田凌', '筱山辉信', '松本真里香', '新谷YUZUMI', '日高麻铃', '青柳尊哉', '松浦祐也', '筱原友希子', '槙田雄司']",['再见，嘴唇 さよならくちびる'],['音乐'],['7.1'],['4603'],[' 日语']
