地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 黎巴嫩 / 法国 / 美国'],['娜丁·拉巴基'],['126'],"['05', '09']","['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']",['何以为家 كفرناحوم'],['剧情'],['9.1'],['652069'],[' 阿拉伯语 / 阿姆哈拉语']
[' 法国'],['尼古拉·瓦尼埃'],['113'],[],"['让-保罗·卢弗', '梅拉妮·杜泰', '路尔斯·瓦兹奎兹', '弗雷德里克·索雷尔', '丽露·弗格利', '葛里高利·巴奎特', '多米尼克·皮侬', '费利佩·曼吉安', '阿丽安·皮瑞', '克里斯汀·布雷康尼尔', '西里尔·内克尔', '塞德里克·梅斯伯格', '米里耶勒·休伊特·奥奈', '雅克·热尔曼', '马蒂厄·瓦尔特', '英加·海尔格·吉姆勒']",['给我翅膀 Donne-moi des ailes'],['冒险'],['8.6'],['5531'],[' 法语']
[' 法国'],"['奥利维埃·纳卡什', '埃里克·托莱达诺']",['114'],[],"['文森特·卡索', '勒达·卡代布', '海伦·文森特', '阿尔班·伊万诺夫', '凯瑟琳·蒙切特', '弗雷德里克·皮耶罗', '苏丽安·卜拉欣', '琳娜·库德里', '阿罗伊斯·索维奇', '海迪·布奇纳法', 'Bryan Mialoundama', 'Benjamin Lesieur', 'Marco Locatelli', 'Djibril Yoni', 'Ahmed Abdel Laoui', 'Darren Muselet', 'Diong-Kéba Tacu']",['标准之外 Hors normes'],"['剧情', '喜剧']",['8.3'],['7102'],[' 法语']
[' 法国'],['尼古拉斯·贝多斯'],['115'],[],"['丹尼尔·奥特伊', '吉约姆·卡内', '多莉亚·蒂利耶', '芬妮·阿尔丹', '皮埃尔·阿迪提', '德尼·波达利德斯']",['美好年代 La belle époque'],"['剧情', '喜剧', '爱情']",['8.1'],['11358'],[' 法语']
[' 意大利 / 法国 / 德国'],['皮耶特罗·马切罗'],['129'],[],"['卢卡·马里内利', '杰西卡·塞西', '文森佐·内莫拉托', '马克·莱昂纳蒂', '丹妮丝·萨迪斯科', '卡门·波梅拉', '卡洛·切基', '奥蒂莉亚·拉涅利', '伊丽莎白·瓦尔古', '彼得罗·拉古萨', '萨维诺·帕帕雷拉', '文琴察·莫迪卡', '查士丁尼·阿尔皮', '朱塞佩·伊利亚诺', '佩佩·马吉奥', '毛里齐奥·多纳多尼', '加埃塔诺·布鲁诺', '阿涅洛·阿雷纳', '琪娅拉·弗兰西妮', '里纳特·希什马塔林']",['马丁·伊登 Martin Eden'],['剧情'],['8.0'],['6362'],[' 意大利语 / 那不勒斯语 / 法语']
[' 法国 / 比利时 / 德国'],['米歇尔·欧斯洛'],['94'],"['06', '10']","['普鲁内尔·查尔斯·安布隆', '恩佐·拉齐托', '纳塔莉·德赛', '布鲁诺·帕维奥', '杰里米·洛佩兹', '哈里森·阿雷瓦洛', '尼古拉斯·潘切瓦', '蒂莎·达维拉·本萨拉', '米歇尔·伊莱亚斯', '帕斯卡尔·佩斯特尔', '保罗·班迪', '伊莎贝尔·嘉德', '莉莲娜·罗维埃', '卡里姆·姆里巴', '奥利维耶·克拉弗里', '伊丽莎白·杜达']",['迪丽丽的奇幻巴黎 Dilili à Paris'],['动画'],['7.9'],['4704'],[' 法语']
[' 英国 / 法国 / 美国'],"['威尔·比彻', '理查德·费兰']",['87'],[],"['贾斯汀·弗莱彻', '约翰·斯帕克斯', '克里斯·莫雷尔', '安迪·尼曼', '戴维·霍尔特', '凯特·哈伯', '阿玛莉亚·维塔莱', '乔·萨格']",['小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon'],"['喜剧', '科幻', '动画', '冒险']",['7.7'],['13859'],[' 英语']
[' 法国 / 比利时'],['弗朗克·迪博斯克'],['107'],['03'],"['弗朗克·迪博斯克', '亚历山德拉·拉米', '艾尔莎·泽贝斯坦', '热拉尔·达尔蒙', '卡洛琳·安格鲁德', '洛朗·巴图', '克洛德·布拉瑟', '弗朗索瓦-格扎维埃·德梅松', '克里斯托弗·卡纳德', '弗朗西斯·科菲内', '源利华', '菲利普·维约']",['真爱百分百 Tout le monde debout'],"['喜剧', '爱情']",['7.5'],['8609'],[' 法语 / 英语 / 意大利语']
[' 日本 / 法国'],['滨口龙介'],['119'],"['05', '09']","['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['20375'],[' 日语']
[' 法国'],['克洛德·勒卢什'],['90'],[],"['让-路易·特兰蒂尼昂', '阿努克·艾梅', '玛丽安娜·德尼库尔', '莫妮卡·贝鲁奇', '苏德·阿米多', 'Antoine Sire', 'Tess Lauvergne', 'Vincent Vinel', 'Bernard Warnas', 'Laurent Dassault', 'Laurent Prudhomme', 'Benjamin Patou', 'Jean-Yves Cressenville']",['最美年华 Les plus belles années d&#39;une vie'],"['剧情', '爱情']",['7.4'],['578'],[' 法语']
[' 法国 / 印度'],['肯·斯科特'],['92'],['05'],"['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂', '热拉尔·朱尼奥', '本·米勒', '阿贝尔·贾夫里', '莎拉·珍妮·拉布罗丝', '凯·葛利丹努', '阿姆鲁塔·桑特', '希玛·比斯瓦斯', '克里斯蒂安·布朗查特', '斯特凡诺·卡塞蒂', '乌瓦曼古·科内利斯', '甘达夫·德万', '埃德温·吉莱特', '奥姆卡·凯特卡', '波林·马雷查尔', '丹尼勒·尼西', '哈蒂·辛格', '玛尔·索度佩']",['衣柜里的冒险王 The Extraordinary Journey of The Fakir'],"['喜剧', '冒险']",['7.0'],['7749'],[' 英语 / 印度语']
[' 法国'],['卡米尔·维达-那克'],['99'],"['05', '08']","['费利克斯·马利陶德', '埃里克·伯纳德', '尼古拉斯·迪布拉', '菲利普·奥雷尔']",['野性 Sauvage'],"['剧情', '情色', '同性']",['7.0'],['5414'],[' 法语']
[' 法国'],['昆汀·杜皮约'],['77'],[],"['让·杜雅尔丹', '阿黛拉·哈内尔', '艾伯特·德尔佩', '科拉莉·吕西耶', '玛丽·布奈尔', '马克西姆·德瑞森', '朱莉娅·福雷', 'Pierre Gommé', 'Laurent Nicolas', 'Stéphane Jobert', 'Franck Lebreton', 'Panayotis Pascot', '塞夫·哈杰迪', 'Maryne Cayon']",['鹿皮 Le daim'],['喜剧'],['6.8'],['4150'],[' 法语']
[' 法国'],['Seth Ickerman'],['50'],[],"['艾莉莎·拉索斯基', '安德斯·亨里奇森', 'Christian Erickson', 'Natasha Cashman', 'Walter Dickerson', 'Joëlle Berckmans', 'Alexandra Flandrin', 'Noémie Stevens', 'Marion Levavasseur', 'Garance Silve', 'Vera Lavender', 'Anna Bozovic', 'Agathe Dewispelaere', 'Justine Dibling', 'Juliet Doucet']",['血液机器 Blood Machines'],['科幻'],['6.6'],['1682'],[' 英语']
[' 法国'],['多米尼克·罗彻'],['93'],['03'],"['安德斯·丹尼尔森·李', '格什菲·法拉哈尼', '德尼·拉旺', '西格丽·博阿茨兹', '大卫·卡门诺斯']",['黑夜吞噬世界 La nuit a dévoré le monde'],['恐怖'],['6.5'],['4587'],[' 挪威语 / 英语']
[' 罗马尼亚 / 法国 / 德国 / 瑞典'],['柯内流·波蓝波宇'],['97'],[],"['弗拉德·伊凡诺夫', '卡特里内尔·马龙', '罗迪卡·拉泽尔', '阿古斯丁·比利亚龙加', '萨宾·塔布瑞亚', 'István Teglas', 'Cristóbal Pinto', 'Antonio Buíl', 'George Pistereanu', 'David Agranov', 'Andrei Barbu', 'Andrei Ciopec', 'Sergiu Costache', 'Julieta Szönyi']",['戈梅拉岛 La Gomera'],"['喜剧', '犯罪']",['6.4'],['1718'],[' 罗马尼亚语 / 英语 / 西班牙语']
[' 中国大陆 / 法国'],['王超'],['83'],['04'],"['韩庚', '杰瑞米·埃尔卡伊姆', '菅纫姿', '阿丽斯·德·朗克桑', '海伦·文森特', '雷诺·科恩', '胡瑞杰', '安迪·吉雷', '邓紫衣', '罗阜艺', '朱宏奇']",['寻找罗麦'],"['剧情', '爱情']",['4.4'],['5748'],[' 汉语普通话 / 英语 / 藏语 / 法语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 黎巴嫩 / 法国 / 美国'],['娜丁·拉巴基'],['126'],"['05', '09']","['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']",['何以为家 كفرناحوم'],['剧情'],['9.1'],['652069'],[' 阿拉伯语 / 阿姆哈拉语']
[' 法国'],['尼古拉·瓦尼埃'],['113'],[],"['让-保罗·卢弗', '梅拉妮·杜泰', '路尔斯·瓦兹奎兹', '弗雷德里克·索雷尔', '丽露·弗格利', '葛里高利·巴奎特', '多米尼克·皮侬', '费利佩·曼吉安', '阿丽安·皮瑞', '克里斯汀·布雷康尼尔', '西里尔·内克尔', '塞德里克·梅斯伯格', '米里耶勒·休伊特·奥奈', '雅克·热尔曼', '马蒂厄·瓦尔特', '英加·海尔格·吉姆勒']",['给我翅膀 Donne-moi des ailes'],['冒险'],['8.6'],['5531'],[' 法语']
