地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英国'],"['维姬·琼斯', 'Tony Grech-Smith']",['107'],[],['菲比·沃勒-布里奇'],['伦敦生活 National Theatre Live: Fleabag'],['喜剧'],['8.9'],['4163'],[' 英语']
[' 英国 / 意大利'],['费尔南多·梅里尔斯'],['125'],[],"['安东尼·霍普金斯', '乔纳森·普雷斯', '胡安·米努欣', '路易斯·尼科', '克里斯蒂娜·巴尼加斯', '玛丽亚·乌斯多', '雷纳托·斯卡帕', '西德尼·科尔', '阿基里·布鲁尼尼', '费德里科·托瑞', '赫尔曼·德·席尔瓦', '利桑德罗·菲克斯', '利贝罗·德·瑞恩佐', '威利·乔纳', '索非亚·塞萨克', '文森特·里奥特', '塞奇莉亚·达齐', '塞尔吉奥·尼古拉', '洛伦佐·维格万诺', '教皇本尼迪克特十六世', '方济各']",['教宗的承继 The Two Popes'],"['剧情', '传记']",['8.6'],['33489'],[' 拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语']
[' 英国 / 法国 / 美国'],"['威尔·比彻', '理查德·费兰']",['87'],[],"['贾斯汀·弗莱彻', '约翰·斯帕克斯', '克里斯·莫雷尔', '安迪·尼曼', '戴维·霍尔特', '凯特·哈伯', '阿玛莉亚·维塔莱', '乔·萨格']",['小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon'],"['喜剧', '科幻', '动画', '冒险']",['7.7'],['13859'],[' 英语']
[' 英国'],['鲁伯特·古尔德'],['118'],[],"['蕾妮·齐薇格', '贝拉·拉姆齐', '卢夫斯·塞维尔', '杰西·巴克利', '迈克尔·刚本', '勒温·劳埃德', '芬·维特洛克', '安迪·尼曼', '费奈拉·伍尔加', '罗伊斯·皮尔逊', '约翰·达格尔什', '菲尔·邓斯特', '露西·拉塞尔', '嘉玛-莉亚·德弗罗', '菲利普·斯波', '蒂姆·埃亨', '宾利·卡鲁', '朱利安·费罗', '伊斯雷尔·鲁兹']",['朱迪 Judy'],"['剧情', '爱情', '传记']",['7.5'],['26385'],[' 英语']
[' 英国 / 美国 / 加拿大'],['德克斯特·弗莱彻'],['121'],[],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什', '查理·罗', '哈丽特·瓦尔特', '维克托里娅·菲斯', '杰玛·琼斯', '汤姆·班尼特', '朱利安·费罗', '莱顿·威廉姆斯', '基特·康纳', '卡米尔·雷米泽斯基', '贝恩·科拉科', '齐亚德·阿巴扎', '伊斯雷尔·鲁兹', '拉斯科·阿特金斯', '格雷厄姆·弗莱彻-库克', '史蒂威·戴维斯']",['火箭人 Rocketman'],"['剧情', '同性', '音乐', '传记']",['7.2'],['15627'],[' 英语']
[' 马来西亚 / 英国'],['林书宇'],['120'],[],"['李心洁', '阿部宽', '张艾嘉', '大卫·奥克斯', '朱利安·山德斯', '约翰·汉纳', '林宣妤', '陈琼华', '谢振刚', 'Naeim Ghalili']",['夕雾花园 The Garden of Evening Mists'],"['剧情', '历史']",['7.2'],['2318'],[' 英语 / 粤语 / 日语 / 马来语']
[' 英国 / 美国'],['欧·帕克'],['114'],"['08', '07']","['莉莉·詹姆斯', '阿曼达·塞弗里德', '朱丽·沃特斯', '克里斯汀·芭伦斯基', '皮尔斯·布鲁斯南', '斯特兰·斯卡斯加德', '科林·费尔斯', '多米尼克·库珀', '杰瑞米·艾文', '亚历克萨·戴维斯', '杰西卡·基南·温', '乔什·迪伦', '休·斯金纳', '雪儿', '梅丽尔·斯特里普', '安迪·加西亚', '西莉亚·伊姆里', '欧米德·吉亚李利', '杰拉德·摩纳科', '森尚子', '伊川东吾', '阿纳斯塔西娅·希尔', '苏珊娜·巴克莱德', '乔纳森·戈德史密斯', '凯西·克莱尔', '班尼·安德森', '戴尔·布兰斯顿', '亚历珊德拉·福特']",['妈妈咪呀2 Mamma Mia! Here We Go Again'],"['喜剧', '爱情', '歌舞']",['7.0'],['23096'],[' 英语 / 法语 / 希腊语']
[' 英国'],['理查德·艾尔'],['115'],['05'],"['安东尼·霍普金斯', '艾玛·汤普森', '艾米丽·沃森', '弗洛伦丝·皮尤', '吉姆·布劳德本特', '吉姆·卡特', '托比亚斯·门基斯', '约翰·麦克米兰', '安东尼·凯尔夫', '西蒙·曼永达', 'Chukwudi Iwuji', '卡尔·约翰逊', 'Samuel Valentine', '安德鲁·斯科特', '克里斯托弗·埃克莱斯顿', '阿琳泽·科纳', '约翰·斯坦丁', '拉裴尔·德普雷', '肖恩·狄克逊', '通恰伊·古奈什', '所罗门·塔伊沃·贾斯提费尔德', '伯纳多·桑托斯']",['李尔王 King Lear'],['剧情'],['7.0'],['2779'],[' 英语']
[' 英国 / 美国 / 德国'],['詹姆斯·肯特'],['108'],[],"['亚历山大·斯卡斯加德', '凯拉·奈特莉', '杰森·克拉克', '凯特·菲利普斯', '费昂·奥谢', '雅尼克·许曼', '亚历山大·谢尔', '吉姆·海伊', '弗雷德里克·普雷斯顿', '汤姆·贝尔', 'Abigail Rice', 'Logan Hillier', 'Flora Thiemann', 'Joseph Arkley', '克劳迪娅·瓦西科娃']",['余波 The Aftermath'],"['剧情', '爱情', '战争']",['6.6'],['5075'],[' 英语']
[' 英国 / 比利时'],['阿布内尔·帕斯托尔'],['97'],[],"['莎拉·伯格', '爱德华·霍格', '安德鲁·辛普森']",['好人难寻 A Good Woman Is Hard to Find'],"['动作', '惊悚']",['6.4'],['1010'],[' 英语']
[' 英国 / 爱尔兰'],['Nick Rowland'],['101'],[],"['巴里·基奥恩', '柯斯莫·贾维斯', '妮娅姆·阿尔格', '奈德·丹内利', '安东尼·威尔士', '大卫·威尔莫特', '西蒙妮·柯比', '瑞安·麦克法兰', 'Hazel Doupe', 'Lee Byford', ""Roisin O'Neill"", ""Toni O'Rourke"", 'Stephen McDade', 'Liam Carney', ""John Paul O'Driscoll""]",['倚马而息 Calm with Horses'],['剧情'],['6.4'],['74'],[' 英语']
[' 中国大陆 / 英国'],"['张大鹏', '内维尔·阿斯特利', '马克·贝克', '尤里斯·范·侯辛', '莎拉·罗珀']",['81'],[],"['朱亚文', '刘芸', '归亚蕾', '方青卓', '李大光', '常蓝天', '王圣迪', '单禹豪', '陈奕雯', '张安琪', '符冲', '范楚绒', '姜玉玲', '周一菡', '孙晔', '贾邱']",['小猪佩奇过大年'],"['动画', '歌舞', '家庭', '儿童']",['3.9'],['12058'],[' 汉语普通话 / 英语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英国'],"['维姬·琼斯', 'Tony Grech-Smith']",['107'],[],['菲比·沃勒-布里奇'],['伦敦生活 National Theatre Live: Fleabag'],['喜剧'],['8.9'],['4163'],[' 英语']
[' 英国 / 意大利'],['费尔南多·梅里尔斯'],['125'],[],"['安东尼·霍普金斯', '乔纳森·普雷斯', '胡安·米努欣', '路易斯·尼科', '克里斯蒂娜·巴尼加斯', '玛丽亚·乌斯多', '雷纳托·斯卡帕', '西德尼·科尔', '阿基里·布鲁尼尼', '费德里科·托瑞', '赫尔曼·德·席尔瓦', '利桑德罗·菲克斯', '利贝罗·德·瑞恩佐', '威利·乔纳', '索非亚·塞萨克', '文森特·里奥特', '塞奇莉亚·达齐', '塞尔吉奥·尼古拉', '洛伦佐·维格万诺', '教皇本尼迪克特十六世', '方济各']",['教宗的承继 The Two Popes'],"['剧情', '传记']",['8.6'],['33489'],[' 拉丁语 / 英语 / 西班牙语 / 意大利语 / 法语 / 葡萄牙语 / 德语']
