地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['埃里克松·科尔'],['113'],[],"['威廉·达福', '朱丽安妮·尼科尔森', '克里斯托弗·赫耶达尔', '理查德·多默', '阿德里安·多瓦尔', '玛德琳·威金斯', '麦克尔·格雷耶斯', '妮维·尼尔森', '尼古拉·尼克拉斐', '托尔比约恩·哈尔', '凯瑟琳·麦格雷戈', '迈克尔·麦克埃尔哈顿', '保罗·皮斯科斯基', '迈克尔·加斯顿', '肖恩·本森', '杰米·麦克沙恩', '巴布·米切尔', '大卫·博特', '杰夫·汉尼']",['多哥 Togo'],"['剧情', '冒险']",['8.8'],['44845'],[' 英语']
[' 美国'],['史蒂文·斯皮尔伯格'],['140'],"['03', '03', '03']","['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']",['头号玩家 Ready Player One'],"['动作', '科幻', '冒险']",['8.7'],['1009339'],[' 英语 / 日语 / 汉语普通话']
[' 法国'],['尼古拉·瓦尼埃'],['113'],[],"['让-保罗·卢弗', '梅拉妮·杜泰', '路尔斯·瓦兹奎兹', '弗雷德里克·索雷尔', '丽露·弗格利', '葛里高利·巴奎特', '多米尼克·皮侬', '费利佩·曼吉安', '阿丽安·皮瑞', '克里斯汀·布雷康尼尔', '西里尔·内克尔', '塞德里克·梅斯伯格', '米里耶勒·休伊特·奥奈', '雅克·热尔曼', '马蒂厄·瓦尔特', '英加·海尔格·吉姆勒']",['给我翅膀 Donne-moi des ailes'],['冒险'],['8.6'],['5531'],[' 法语']
[' 美国'],"['安东尼·罗素', '乔·罗素']",['181'],[],"['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊', '杰瑞米·雷纳', '保罗·路德', '凯伦·吉兰', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·王', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '乔什·布洛林', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']",['复仇者联盟4：终局之战 Avengers: Endgame'],"['动作', '科幻', '奇幻', '冒险']",['8.5'],['841006'],[' 英语 / 日语 / 科萨语']
[' 中国大陆'],['袁菲'],['20'],[],"['潘粤明', '丁溪鹤']",['古董局中局之佛头起源'],['冒险'],['8.0'],['1995'],[' 汉语普通话']
[' 中国大陆'],['郭帆'],['125'],[],"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']",['流浪地球'],"['科幻', '冒险', '灾难']",['7.9'],['1529619'],[' 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语']
[' 美国'],['布拉德·伯德'],['118'],"['06', '06']","['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯', '约翰·拉岑贝格', '金伯利·阿代尔·克拉克', '托亚·特纳']",['超人总动员2 Incredibles 2'],"['喜剧', '动作', '动画', '冒险']",['7.9'],['210611'],[' 英语']
[' 日本'],['石田祐康'],['117'],['08'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['企鹅公路 ペンギン・ハイウェイ'],"['动画', '奇幻', '冒险']",['7.8'],['35053'],[' 日语']
[' 英国 / 法国 / 美国'],"['威尔·比彻', '理查德·费兰']",['87'],[],"['贾斯汀·弗莱彻', '约翰·斯帕克斯', '克里斯·莫雷尔', '安迪·尼曼', '戴维·霍尔特', '凯特·哈伯', '阿玛莉亚·维塔莱', '乔·萨格']",['小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon'],"['喜剧', '科幻', '动画', '冒险']",['7.7'],['13859'],[' 英语']
