地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['石原立也'],['100'],[],"['黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '石谷春贵', '藤村鼓乃美', '山冈百合', '津田健次郎', '小堀幸', '雨宫天', '七濑彩夏', '久野美咲', '土屋神叶', '寿美菜子', '樱井孝宏']",['吹响悠风号剧场版：誓言的终章 劇場版 響け！ユーフォニアム～誓いのフィナーレ～'],['动画'],['9.2'],['3823'],[' 日语']
[' 日本'],['外崎春雄'],['113'],[],"['大塚芳忠', '梶裕贵', '加隈亚衣', '冈本信彦', '森川智之', '浪川大辅', '山崎巧', '绿川光', '子安武人', '井泽诗织', '悠木碧']",['鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆'],"['动作', '动画', '惊悚', '奇幻']",['9.1'],['9876'],[' 日语']
[' 日本'],['石原立也'],['94'],['01'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],"['喜剧', '爱情', '动画']",['8.6'],['5421'],[' 日语 / 意大利语']
[' 中国大陆'],['饺子'],['110'],[],"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']",['哪吒之魔童降世'],"['剧情', '喜剧', '动画', '奇幻']",['8.5'],['1423315'],[' 汉语普通话']
[' 中国大陆'],['小野败仔'],['13'],['04'],"['于越', '森中人', '冷泉夜月']",['切尔诺贝利之春 Un printemps à Tchernobyl'],"['剧情', '动画', '历史', '灾难']",['8.0'],['3595'],[' 汉语普通话']
[' 美国'],['布拉德·伯德'],['118'],"['06', '06']","['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯', '约翰·拉岑贝格', '金伯利·阿代尔·克拉克', '托亚·特纳']",['超人总动员2 Incredibles 2'],"['喜剧', '动作', '动画', '冒险']",['7.9'],['210611'],[' 英语']
[' 法国 / 比利时 / 德国'],['米歇尔·欧斯洛'],['94'],"['06', '10']","['普鲁内尔·查尔斯·安布隆', '恩佐·拉齐托', '纳塔莉·德赛', '布鲁诺·帕维奥', '杰里米·洛佩兹', '哈里森·阿雷瓦洛', '尼古拉斯·潘切瓦', '蒂莎·达维拉·本萨拉', '米歇尔·伊莱亚斯', '帕斯卡尔·佩斯特尔', '保罗·班迪', '伊莎贝尔·嘉德', '莉莲娜·罗维埃', '卡里姆·姆里巴', '奥利维耶·克拉弗里', '伊丽莎白·杜达']",['迪丽丽的奇幻巴黎 Dilili à Paris'],['动画'],['7.9'],['4704'],[' 法语']
[' 日本'],['石田祐康'],['117'],['08'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['企鹅公路 ペンギン・ハイウェイ'],"['动画', '奇幻', '冒险']",['7.8'],['35053'],[' 日语']
[' 英国 / 法国 / 美国'],"['威尔·比彻', '理查德·费兰']",['87'],[],"['贾斯汀·弗莱彻', '约翰·斯帕克斯', '克里斯·莫雷尔', '安迪·尼曼', '戴维·霍尔特', '凯特·哈伯', '阿玛莉亚·维塔莱', '乔·萨格']",['小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon'],"['喜剧', '科幻', '动画', '冒险']",['7.7'],['13859'],[' 英语']
[' 美国'],"['杰克·卡斯托雷纳', '刘山姆']",['81'],['07'],"['杰瑞·奥康奈尔', '丽贝卡·罗梅恩', '雷恩·威尔森', '罗莎里奥·道森', '内森·菲利安', '克里斯托弗·戈勒姆', '马特·兰特尔', '谢默·摩尔', '尼扬比·尼扬比', '杰森·奥玛拉', '乔纳森·亚当斯', '洛奇·卡罗尔', '特雷弗·德瓦', '保罗·伊丁', '帕特里克·法比安', '詹妮弗·黑尔', '马克斯·迈特尔曼', '托克斯·奥拉贡多耶']",['超人之死 The Death of Superman'],"['动作', '科幻', '动画']",['7.4'],['12162'],[' 英语']
