地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['小野败仔'],['13'],['04'],"['于越', '森中人', '冷泉夜月']",['切尔诺贝利之春 Un printemps à Tchernobyl'],"['剧情', '动画', '历史', '灾难']",['8.0'],['3595'],[' 汉语普通话']
[' 俄罗斯'],['阿列克赛·西多洛夫'],['139'],['12'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '西蒙·特列斯库诺夫', '尤里·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['T-34坦克 T-34'],"['动作', '历史', '战争']",['7.7'],['15518'],[' 俄语']
[' 韩国'],['严宥娜'],['135'],[],"['柳海真', '尹启相', '金弘波', '禹贤', '金太勋', '艺秀晶', '赵贤哲']",['词典 말모이'],"['剧情', '历史']",['7.7'],['4587'],[' 韩语']
[' 挪威 / 冰岛 / 美国'],['保罗·格林格拉斯'],['143'],"['09', '10']","['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']",['挪威7·22爆炸枪击案 22 July'],"['剧情', '历史', '犯罪']",['7.5'],['8854'],[' 英语']
[' 马来西亚 / 英国'],['林书宇'],['120'],[],"['李心洁', '阿部宽', '张艾嘉', '大卫·奥克斯', '朱利安·山德斯', '约翰·汉纳', '林宣妤', '陈琼华', '谢振刚', 'Naeim Ghalili']",['夕雾花园 The Garden of Evening Mists'],"['剧情', '历史']",['7.2'],['2318'],[' 英语 / 粤语 / 日语 / 马来语']
[' 中国大陆'],['王路沙'],['96'],[],"['李肖宁', '契那日图', '李春明', '塔娜花日', '刚照日嘎', '白那日苏', '阿古', '刘鹏云']",['红色之子·单刀赴会'],"['动作', '传记', '历史']",['7.1'],['807'],[]
[' 中国大陆'],['陈力'],['120'],[],"['王仁君', '王志飞', '刘智扬', '胡兵', '张一山', '孙维民', '李幼斌', '董玥', '邹先煜']",['古田军号'],"['剧情', '历史', '战争']",['6.6'],['6320'],[' 汉语普通话']
[' 中国大陆'],"['李少红', '常晓阳']",['103'],[],"['周一围', '钟汉良', '钟楚曦', '王迅', '王锵', '姜皓文', '乌兰托雅·朵', '杨幂', '潘斌龙', '傅亨', '郭麒麟', '尹子维', '魏子淇', '季路桐', '艾米', '邵兵']",['解放·终局营救'],"['剧情', '历史', '战争']",['4.7'],['8085'],[' 汉语普通话']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['小野败仔'],['13'],['04'],"['于越', '森中人', '冷泉夜月']",['切尔诺贝利之春 Un printemps à Tchernobyl'],"['剧情', '动画', '历史', '灾难']",['8.0'],['3595'],[' 汉语普通话']
[' 俄罗斯'],['阿列克赛·西多洛夫'],['139'],['12'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '西蒙·特列斯库诺夫', '尤里·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['T-34坦克 T-34'],"['动作', '历史', '战争']",['7.7'],['15518'],[' 俄语']
[' 韩国'],['严宥娜'],['135'],[],"['柳海真', '尹启相', '金弘波', '禹贤', '金太勋', '艺秀晶', '赵贤哲']",['词典 말모이'],"['剧情', '历史']",['7.7'],['4587'],[' 韩语']
[' 挪威 / 冰岛 / 美国'],['保罗·格林格拉斯'],['143'],"['09', '10']","['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']",['挪威7·22爆炸枪击案 22 July'],"['剧情', '历史', '犯罪']",['7.5'],['8854'],[' 英语']
[' 马来西亚 / 英国'],['林书宇'],['120'],[],"['李心洁', '阿部宽', '张艾嘉', '大卫·奥克斯', '朱利安·山德斯', '约翰·汉纳', '林宣妤', '陈琼华', '谢振刚', 'Naeim Ghalili']",['夕雾花园 The Garden of Evening Mists'],"['剧情', '历史']",['7.2'],['2318'],[' 英语 / 粤语 / 日语 / 马来语']
[' 中国大陆'],['王路沙'],['96'],[],"['李肖宁', '契那日图', '李春明', '塔娜花日', '刚照日嘎', '白那日苏', '阿古', '刘鹏云']",['红色之子·单刀赴会'],"['动作', '传记', '历史']",['7.1'],['807'],[]
[' 中国大陆'],['陈力'],['120'],[],"['王仁君', '王志飞', '刘智扬', '胡兵', '张一山', '孙维民', '李幼斌', '董玥', '邹先煜']",['古田军号'],"['剧情', '历史', '战争']",['6.6'],['6320'],[' 汉语普通话']
[' 中国大陆'],"['李少红', '常晓阳']",['103'],[],"['周一围', '钟汉良', '钟楚曦', '王迅', '王锵', '姜皓文', '乌兰托雅·朵', '杨幂', '潘斌龙', '傅亨', '郭麒麟', '尹子维', '魏子淇', '季路桐', '艾米', '邵兵']",['解放·终局营救'],"['剧情', '历史', '战争']",['4.7'],['8085'],[' 汉语普通话']
