地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['格里格·伯兰蒂'],['110'],['03'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['喜剧', '爱情', '同性']",['8.3'],['175942'],[' 英语']
[' 英国 / 美国 / 加拿大'],['德克斯特·弗莱彻'],['121'],[],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什', '查理·罗', '哈丽特·瓦尔特', '维克托里娅·菲斯', '杰玛·琼斯', '汤姆·班尼特', '朱利安·费罗', '莱顿·威廉姆斯', '基特·康纳', '卡米尔·雷米泽斯基', '贝恩·科拉科', '齐亚德·阿巴扎', '伊斯雷尔·鲁兹', '拉斯科·阿特金斯', '格雷厄姆·弗莱彻-库克', '史蒂威·戴维斯']",['火箭人 Rocketman'],"['剧情', '同性', '音乐', '传记']",['7.2'],['15627'],[' 英语']
[' 泰国'],['基提哈克·通加姆'],['108'],[],"['查伦舒克·帕奥佩茨', '通坎东·通猜', '拉塔南特·詹亚季拉翁', '帕塔拉萨亚·克鲁阿苏旺斯里', '阿拉亚·爱尔柏塔·亥盖特', '可林桑拉铺·皮木颂克朗', '甘·纯郝哇', '帕薇努特·庞纳康', '冈·斯瓦蒂', '巴尼沙拉·披蒲', '尼替·柴契塔通', '夏纳纳·努塔科姆', '帕瑞斯·因塔拉科玛亚苏特', '克劳迪娜·克雷格', '宝拉·泰勒', '泰莎昂·派索克乔纶']",['窈窕淑男的日记 ตุ๊ดซี่ส์แอนด์ เดอะเฟค'],"['喜剧', '同性']",['7.1'],['3333'],[' 泰语']
[' 法国'],['卡米尔·维达-那克'],['99'],"['05', '08']","['费利克斯·马利陶德', '埃里克·伯纳德', '尼古拉斯·迪布拉', '菲利普·奥雷尔']",['野性 Sauvage'],"['剧情', '情色', '同性']",['7.0'],['5414'],[' 法语']
[' 中国香港'],['李骏硕'],['119'],"['11', '10']","['姜皓文', '惠英红', '黄河', '袁富华', '余香凝', '吴肇轩', '周祉君', '陈蕾', '葛民辉', '岑珈其', '梁舜燕', '顾定轩', '黄溢濠', '李昭南', '陈志全']",['翠丝 翠絲'],"['剧情', '同性']",['6.9'],['11382'],[' 粤语']
[' 美国'],['戴思睿·阿卡万'],['91'],"['01', '08']","['科洛·莫瑞兹', '萨莎·莱恩', '詹妮弗·艾莉', '小约翰·加拉赫', '福勒斯特·古德勒克', '奎恩·谢法德', '斯宾塞·李斯特', '艾米莉· 斯凯格斯', '艾萨克·吉·索尔斯坦']",['错误教育 The Miseducation of Cameron Post'],"['剧情', '同性']",['6.6'],['5968'],[' 英语']
[' 泰国'],['楚克·萨克瑞科'],['123'],[],"['Polnat Boonma', '雅琳达·邦恩纳克', 'Yarinda Bunnag', 'Apasiri Chantrasmi', '萨达农·杜隆卡沃', 'Pawat Jitsawangdee', '苏格拉瓦·卡那诺', 'Pantach Kankham', 'Darisa Karnpob', 'Jessada Kowiboonchai', 'Nattapong Kulsathid', 'Maytichai Nangwong', 'Chanakarn Niruttipaworn', 'Patchamon Park', '欧帕瓦·吉沙晚迪']",['譬如朝露 ดิว ไปด้วยกันนะ'],"['剧情', '爱情', '同性']",['6.3'],['4012'],[' 泰语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['格里格·伯兰蒂'],['110'],['03'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['喜剧', '爱情', '同性']",['8.3'],['175942'],[' 英语']
[' 英国 / 美国 / 加拿大'],['德克斯特·弗莱彻'],['121'],[],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什', '查理·罗', '哈丽特·瓦尔特', '维克托里娅·菲斯', '杰玛·琼斯', '汤姆·班尼特', '朱利安·费罗', '莱顿·威廉姆斯', '基特·康纳', '卡米尔·雷米泽斯基', '贝恩·科拉科', '齐亚德·阿巴扎', '伊斯雷尔·鲁兹', '拉斯科·阿特金斯', '格雷厄姆·弗莱彻-库克', '史蒂威·戴维斯']",['火箭人 Rocketman'],"['剧情', '同性', '音乐', '传记']",['7.2'],['15627'],[' 英语']
[' 泰国'],['基提哈克·通加姆'],['108'],[],"['查伦舒克·帕奥佩茨', '通坎东·通猜', '拉塔南特·詹亚季拉翁', '帕塔拉萨亚·克鲁阿苏旺斯里', '阿拉亚·爱尔柏塔·亥盖特', '可林桑拉铺·皮木颂克朗', '甘·纯郝哇', '帕薇努特·庞纳康', '冈·斯瓦蒂', '巴尼沙拉·披蒲', '尼替·柴契塔通', '夏纳纳·努塔科姆', '帕瑞斯·因塔拉科玛亚苏特', '克劳迪娜·克雷格', '宝拉·泰勒', '泰莎昂·派索克乔纶']",['窈窕淑男的日记 ตุ๊ดซี่ส์แอนด์ เดอะเฟค'],"['喜剧', '同性']",['7.1'],['3333'],[' 泰语']
[' 法国'],['卡米尔·维达-那克'],['99'],"['05', '08']","['费利克斯·马利陶德', '埃里克·伯纳德', '尼古拉斯·迪布拉', '菲利普·奥雷尔']",['野性 Sauvage'],"['剧情', '情色', '同性']",['7.0'],['5414'],[' 法语']
[' 中国香港'],['李骏硕'],['119'],"['11', '10']","['姜皓文', '惠英红', '黄河', '袁富华', '余香凝', '吴肇轩', '周祉君', '陈蕾', '葛民辉', '岑珈其', '梁舜燕', '顾定轩', '黄溢濠', '李昭南', '陈志全']",['翠丝 翠絲'],"['剧情', '同性']",['6.9'],['11382'],[' 粤语']
[' 美国'],['戴思睿·阿卡万'],['91'],"['01', '08']","['科洛·莫瑞兹', '萨莎·莱恩', '詹妮弗·艾莉', '小约翰·加拉赫', '福勒斯特·古德勒克', '奎恩·谢法德', '斯宾塞·李斯特', '艾米莉· 斯凯格斯', '艾萨克·吉·索尔斯坦']",['错误教育 The Miseducation of Cameron Post'],"['剧情', '同性']",['6.6'],['5968'],[' 英语']
[' 泰国'],['楚克·萨克瑞科'],['123'],[],"['Polnat Boonma', '雅琳达·邦恩纳克', 'Yarinda Bunnag', 'Apasiri Chantrasmi', '萨达农·杜隆卡沃', 'Pawat Jitsawangdee', '苏格拉瓦·卡那诺', 'Pantach Kankham', 'Darisa Karnpob', 'Jessada Kowiboonchai', 'Nattapong Kulsathid', 'Maytichai Nangwong', 'Chanakarn Niruttipaworn', 'Patchamon Park', '欧帕瓦·吉沙晚迪']",['譬如朝露 ดิว ไปด้วยกันนะ'],"['剧情', '爱情', '同性']",['6.3'],['4012'],[' 泰语']
