地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['外崎春雄'],['113'],[],"['大塚芳忠', '梶裕贵', '加隈亚衣', '冈本信彦', '森川智之', '浪川大辅', '山崎巧', '绿川光', '子安武人', '井泽诗织', '悠木碧']",['鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆'],"['动作', '动画', '惊悚', '奇幻']",['9.1'],['9876'],[' 日语']
[' 中国大陆'],['饺子'],['110'],[],"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']",['哪吒之魔童降世'],"['剧情', '喜剧', '动画', '奇幻']",['8.5'],['1423315'],[' 汉语普通话']
[' 美国'],"['安东尼·罗素', '乔·罗素']",['181'],[],"['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊', '杰瑞米·雷纳', '保罗·路德', '凯伦·吉兰', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·王', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '乔什·布洛林', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']",['复仇者联盟4：终局之战 Avengers: Endgame'],"['动作', '科幻', '奇幻', '冒险']",['8.5'],['841006'],[' 英语 / 日语 / 科萨语']
[' 印度'],['Nandini Reddy'],['157'],[],"['萨曼莎·鲁斯·帕布', 'Rajendra Prasad', 'Lakshmi']",['超龄少女 Oh Baby...'],"['剧情', '歌舞', '奇幻']",['8.4'],['558'],[' 泰卢固语']
[' 日本'],['石田祐康'],['117'],['08'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['企鹅公路 ペンギン・ハイウェイ'],"['动画', '奇幻', '冒险']",['7.8'],['35053'],[' 日语']
[' 日本'],['新海诚'],['111'],[],"['醍醐虎汰朗', '森七菜', '小栗旬', '本田翼', '倍赏千惠子', '吉柳咲良', '平泉成', '梶裕贵', '木村良平', '柴田秀胜', '野泽雅子', '花泽香菜', '佐仓绫音']",['天气之子 天気の子'],"['爱情', '动画', '奇幻']",['7.1'],['178180'],[' 日语']
[' 美国'],['蒂姆·波顿'],['112'],[],"['伊娃·格林', '科林·法瑞尔', '迈克尔·基顿', '妮可·帕克', '芬利·霍宾斯', '丹尼·德维托', '艾伦·阿金', '卡米尔·雷米泽斯基', '约瑟夫·盖特', '桑迪·马丁', '乔·奥斯蒙德', '莎朗·鲁妮', '拉斯·艾丁格', '罗珊·塞斯', '道比·欧帕瑞', '迈克尔·巴佛', '杰茜·维宁', '伯纳多·桑托斯', '贝恩·科拉科', '文森特·阿德里安', '菲利普·罗施', '露西·德维托', '拉普洛斯·卡伦福佐斯', '阿梅吉特·德尤', '史蒂芬·萨姆森', '埃里克·海登']",['小飞象 Dumbo'],"['奇幻', '冒险']",['6.7'],['56878'],[' 英语']
[' 加拿大'],['德尼·科泰'],['97'],[],"['让-米歇尔·安蒂尔', '诺曼德·卡瑞尔', '拉里萨·科里韦', '乔西·德斯克内斯', '雷米·古莱', '雷切尔·格拉顿', '黛安·拉瓦雷', '罗伯特·内勒', '若瑟琳·祖科']",['鬼镇事件簿 Répertoire des villes disparues'],"['剧情', '奇幻']",['6.3'],['1089'],[' 法语']
[' 中国大陆 / 中国香港'],['徐克'],['132'],['07'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['234376'],[' 汉语普通话']
