地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国 / 墨西哥'],['阿方索·卡隆'],['135'],"['08', '12']","['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']",['罗马 Roma'],"['剧情', '家庭']",['8.2'],['112852'],[' 西班牙语 / 英语 / 日语 / 德语 / 法语 / 挪威语']
[' 日本'],['吉见拓真  '],['74'],[],"['木村文乃', '近藤正臣']",['在京都小住 ちょこっと京都に住んでみた。'],"['剧情', '家庭']",['8.1'],['5322'],[' 日语']
[' 中国大陆'],['霍猛'],['93'],['10'],"['杨太义', '李云虎 ', '万众 ', '聂栋才 ']",['过昭关'],"['剧情', '家庭', '儿童']",['7.8'],['9961'],[' 河南方言']
[' 中国大陆'],['杨荔钠'],['124'],[],"['郝蕾', '金燕玲', '曲隽希', '李文波', '黄尚禾']",['春潮'],"['剧情', '家庭']",['7.2'],['20932'],[' 汉语普通话']
[' 中国大陆'],['蓝鸿春'],['100'],['08'],"['郑润奇', '郑鹏生', '张咏娴', '李树浩', '林俊鑫', '陈锦标', '周素琴', '郑辉松', '张翼就', '陈昱曦', '苏细珍']",['爸，我一定行的'],"['剧情', '喜剧', '家庭']",['6.3'],['6276'],[' 潮汕方言 / 汉语普通话']
[' 中国大陆 / 英国'],"['张大鹏', '内维尔·阿斯特利', '马克·贝克', '尤里斯·范·侯辛', '莎拉·罗珀']",['81'],[],"['朱亚文', '刘芸', '归亚蕾', '方青卓', '李大光', '常蓝天', '王圣迪', '单禹豪', '陈奕雯', '张安琪', '符冲', '范楚绒', '姜玉玲', '周一菡', '孙晔', '贾邱']",['小猪佩奇过大年'],"['动画', '歌舞', '家庭', '儿童']",['3.9'],['12058'],[' 汉语普通话 / 英语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国 / 墨西哥'],['阿方索·卡隆'],['135'],"['08', '12']","['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']",['罗马 Roma'],"['剧情', '家庭']",['8.2'],['112852'],[' 西班牙语 / 英语 / 日语 / 德语 / 法语 / 挪威语']
[' 日本'],['吉见拓真  '],['74'],[],"['木村文乃', '近藤正臣']",['在京都小住 ちょこっと京都に住んでみた。'],"['剧情', '家庭']",['8.1'],['5322'],[' 日语']
[' 中国大陆'],['霍猛'],['93'],['10'],"['杨太义', '李云虎 ', '万众 ', '聂栋才 ']",['过昭关'],"['剧情', '家庭', '儿童']",['7.8'],['9961'],[' 河南方言']
[' 中国大陆'],['杨荔钠'],['124'],[],"['郝蕾', '金燕玲', '曲隽希', '李文波', '黄尚禾']",['春潮'],"['剧情', '家庭']",['7.2'],['20932'],[' 汉语普通话']
[' 中国大陆'],['蓝鸿春'],['100'],['08'],"['郑润奇', '郑鹏生', '张咏娴', '李树浩', '林俊鑫', '陈锦标', '周素琴', '郑辉松', '张翼就', '陈昱曦', '苏细珍']",['爸，我一定行的'],"['剧情', '喜剧', '家庭']",['6.3'],['6276'],[' 潮汕方言 / 汉语普通话']
[' 中国大陆 / 英国'],"['张大鹏', '内维尔·阿斯特利', '马克·贝克', '尤里斯·范·侯辛', '莎拉·罗珀']",['81'],[],"['朱亚文', '刘芸', '归亚蕾', '方青卓', '李大光', '常蓝天', '王圣迪', '单禹豪', '陈奕雯', '张安琪', '符冲', '范楚绒', '姜玉玲', '周一菡', '孙晔', '贾邱']",['小猪佩奇过大年'],"['动画', '歌舞', '家庭', '儿童']",['3.9'],['12058'],[' 汉语普通话 / 英语']
