地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['外崎春雄'],['113'],[],"['大塚芳忠', '梶裕贵', '加隈亚衣', '冈本信彦', '森川智之', '浪川大辅', '山崎巧', '绿川光', '子安武人', '井泽诗织', '悠木碧']",['鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆'],"['动作', '动画', '惊悚', '奇幻']",['9.1'],['9876'],[' 日语']
[' 美国 / 加拿大'],['托德·菲利普斯'],['122'],[],"['华金·菲尼克斯', '罗伯特·德尼罗', '马克·马龙', '莎姬·贝兹', '谢伊·惠格姆', '弗兰西丝·康罗伊', '布莱恩·考伦', '布莱恩·泰里·亨利', '布莱特·卡伦', '道格拉斯·霍奇斯', '格伦·弗莱施勒', '比尔·坎普', '乔什·帕斯', '但丁·佩雷拉-奥尔森', '玛丽·凯特·马拉特', '迈克尔·本茨', '莎珑·华盛顿', '桑德拉·詹姆斯', '托尼·赫德', '曼德拉·贝拉米', '乔·奥克曼', '卡尔·伦德施泰特', '米克·奥罗克', '大卫·吉布森', '伊万·罗萨多', '安妮·比萨比亚', '布莱斯·科里根', '乔恩·道格拉斯·雷尼', '艾恩斯利·丹恩', '杰森·约翰·奇卡莱塞']",['小丑 Joker'],"['剧情', '惊悚', '犯罪']",['8.7'],['701598'],[' 英语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['666997'],[' 印地语 / 英语']
[' 西班牙'],['奥里奥尔·保罗'],['128'],['11'],"['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']",['海市蜃楼 Durante la tormenta'],"['科幻', '悬疑', '惊悚']",['7.8'],['267767'],[' 西班牙语']
[' 澳大利亚'],['格兰特·斯布托尔'],['114'],[],"['罗丝·伯恩', '克拉拉·卢嘉', '塔莉亚·斯图尔扎克', '希拉里·斯万克', '卢克·霍克', '马迪·莱顿', '沙漠·莱顿', '哈兹尔·桑德里', '雅各布·诺兰', '约翰尼·卡森', '乌比·戈德堡', '史蒂夫·马丁']",['吾乃母亲 I Am Mother'],"['科幻', '惊悚']",['7.3'],['15597'],[' 英语']
[' 美国 / 南非'],['亚当·罗比特尔'],['99'],[],"['泰勒·拉塞尔', '洛根·米勒', '黛博拉·安沃尔', '泰勒·莱伯恩', '杰·埃利斯', '尼克·多达尼', '杰西卡·萨顿', '约里克·范·韦杰宁根', '杰米-李·蒙尼', '亚当·罗比特尔', '韦尔·廷德尔', '肯尼思·霍', '科尼利厄斯·吉尼', '保罗·汉普赛尔', '佩泰·塞彭克', '丹·格伦伯格', '吉诺·李']",['密室逃生 Escape Room'],"['悬疑', '惊悚']",['7.2'],['187068'],[' 英语']
[' 加拿大 / 美国'],"['马特·贝蒂内利-奥尔平', '泰勒·吉勒特']",['95'],[],"['萨玛拉·维文', '安迪·麦克道威尔', '马克·奥布莱恩', '亚当·布罗迪', '亨利·科泽尼', '妮基·瓜达尼', '梅兰妮·斯科洛凡诺', '克里斯蒂安·布鲁恩', '伊利斯·莱韦斯克', '约翰·拉尔斯顿', '达妮埃拉·巴博萨', '伊拉娜·盖尔', '安德鲁·安东尼']",['准备好了没 Ready or Not'],"['悬疑', '惊悚', '恐怖']",['6.7'],['53045'],[' 英语']
[' 美国'],['布莱恩·柯克'],['99'],[],"['查德维克·博斯曼', '西耶娜·米勒', '泰勒·克奇', 'J·K·西蒙斯', '凯斯·大卫', '史蒂芬·詹姆士', '凯蒂·麦克莱伦', '莎伊娜·瑞恩', '加里·卡尔', '维多利亚·卡塔赫纳', '戴尔·帕文斯基', '托比·海明威', '克里斯蒂安·艾赛亚', '路易斯·坎瑟米', '乔恩·道格拉斯·雷尼', '杰拉德·瓦德', '莫洛克·奥马里', '苏泽特·古恩', '迈克尔·J·克雷西克', '迈克尔·J·莱昂斯']",['21座桥 21 Bridges'],"['剧情', '惊悚', '犯罪']",['6.7'],['6735'],[' 英语']
[' 美国'],['克里斯托弗·兰登'],['100'],[],"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '苏拉·沙玛', '史蒂夫·齐西斯', '瑞秋·马休斯', '查尔斯·艾特肯', '莎拉·亚金', '凯莱布·斯比尔亚兹', '吉吉·埃内塔', '劳拉·克利夫顿', '温迪·米克洛维奇', '凯勒布·拿奎恩', '肯尼斯·以色列', '泰内娅·因崔亚戈', '布莱恩·克恩', '川川', '卡瑞尔拉·史密斯', '罗布·梅洛', '林赛·G·史密斯', '飞·武', '莎拉·贝纳尼', '杰奎琳·哈里斯·马瑟恩', '西尔维娅·格雷丝·克里姆', '拉姆齐·安德森']",['忌日快乐2 Happy Death Day 2U'],"['悬疑', '惊悚', '恐怖']",['6.6'],['66934'],[' 英语']
