地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['宫鹏'],['212'],[],"['朱广权', '陈超', '周延', '彭磊', '赵梦', '庞宽', '冯提莫', '陈乐一', '张光北', '胡彦斌', '易言', '周笔畅', '张蔷', '理查德·克莱德曼', '方锦龙', '戴荃', '周深', '邓紫棋', '吴亦凡', '陈信宏', '蔡升晏', '石锦航', '温尚翊', '刘冠佑', '王禹', '方颂评', '肥皂菌', '陆二胡', '孟晓洁', '洛天依', '克丽希·克斯丹萨', '路卡·苏利克', '段汁', '赵兆']",['bilibili晚会二零一九最美的夜'],"['歌舞', '真人秀']",['9.1'],['30008'],[' 汉语普通话']
[' 印度'],['Nandini Reddy'],['157'],[],"['萨曼莎·鲁斯·帕布', 'Rajendra Prasad', 'Lakshmi']",['超龄少女 Oh Baby...'],"['剧情', '歌舞', '奇幻']",['8.4'],['558'],[' 泰卢固语']
[' 日本'],['大根仁'],['119'],['08'],"['筱原凉子', '广濑铃', '板谷由夏', '小池荣子', '友坂理惠', '渡边直美', '池田依来沙', '山本舞香', '野田美櫻', '田边桃子', '富田望生', '三浦春马', '中川雅也', '新井浩文', '矢本悠马']",['阳光姐妹淘 SUNNY 強い気持ち・強い愛'],"['剧情', '喜剧', '歌舞']",['8.3'],['40392'],[' 日语']
[' 韩国'],['姜炯哲'],['133'],['12'],"['都暻秀', '朴慧秀', '吴政世', '金民浩', '朴真珠', '白仁权', '杰瑞德·格里姆斯', '罗斯·凯特尔']",['摇摆狂潮 스윙키즈'],"['剧情', '歌舞', '战争']",['8.2'],['39815'],[' 韩语']
[' 英国 / 美国'],['欧·帕克'],['114'],"['08', '07']","['莉莉·詹姆斯', '阿曼达·塞弗里德', '朱丽·沃特斯', '克里斯汀·芭伦斯基', '皮尔斯·布鲁斯南', '斯特兰·斯卡斯加德', '科林·费尔斯', '多米尼克·库珀', '杰瑞米·艾文', '亚历克萨·戴维斯', '杰西卡·基南·温', '乔什·迪伦', '休·斯金纳', '雪儿', '梅丽尔·斯特里普', '安迪·加西亚', '西莉亚·伊姆里', '欧米德·吉亚李利', '杰拉德·摩纳科', '森尚子', '伊川东吾', '阿纳斯塔西娅·希尔', '苏珊娜·巴克莱德', '乔纳森·戈德史密斯', '凯西·克莱尔', '班尼·安德森', '戴尔·布兰斯顿', '亚历珊德拉·福特']",['妈妈咪呀2 Mamma Mia! Here We Go Again'],"['喜剧', '爱情', '歌舞']",['7.0'],['23096'],[' 英语 / 法语 / 希腊语']
[' 中国大陆 / 英国'],"['张大鹏', '内维尔·阿斯特利', '马克·贝克', '尤里斯·范·侯辛', '莎拉·罗珀']",['81'],[],"['朱亚文', '刘芸', '归亚蕾', '方青卓', '李大光', '常蓝天', '王圣迪', '单禹豪', '陈奕雯', '张安琪', '符冲', '范楚绒', '姜玉玲', '周一菡', '孙晔', '贾邱']",['小猪佩奇过大年'],"['动画', '歌舞', '家庭', '儿童']",['3.9'],['12058'],[' 汉语普通话 / 英语']
[' 中国大陆'],[],[],[],"['王一博', '刘宪华', '沈腾', '尚雯婕', '吴亦凡', '肖战', '蔡依林', '大张伟', '黄晓明', '吉克隽逸', '江疏影', '江映蓉', '刘宇宁', '那吾克热·玉素甫江', 'R1SE', '容祖儿', '魏大勋', '王菊', '吴青峰', '汪苏泷', '许魏洲', '杨洋', '周笔畅', '周冬雨', '张靓颖', '郑爽', '赵薇']",['2019湖南卫视嗨爆夜'],"['歌舞', '真人秀']",[''],[],[' 汉语普通话']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['宫鹏'],['212'],[],"['朱广权', '陈超', '周延', '彭磊', '赵梦', '庞宽', '冯提莫', '陈乐一', '张光北', '胡彦斌', '易言', '周笔畅', '张蔷', '理查德·克莱德曼', '方锦龙', '戴荃', '周深', '邓紫棋', '吴亦凡', '陈信宏', '蔡升晏', '石锦航', '温尚翊', '刘冠佑', '王禹', '方颂评', '肥皂菌', '陆二胡', '孟晓洁', '洛天依', '克丽希·克斯丹萨', '路卡·苏利克', '段汁', '赵兆']",['bilibili晚会二零一九最美的夜'],"['歌舞', '真人秀']",['9.1'],['30008'],[' 汉语普通话']
