地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['马丁·斯科塞斯'],['209'],[],"['罗伯特·德尼罗', '阿尔·帕西诺', '乔·佩西', '安娜·帕奎因', '杰西·普莱蒙', '哈威·凯特尔', '斯蒂芬·格拉汉姆', '鲍比·坎纳瓦尔', '杰克·休斯顿', '阿莱卡萨·帕拉迪诺', '凯瑟琳·纳杜奇', '多米尼克·隆巴多兹', '雷·罗马诺', '塞巴斯蒂安·马尼斯科', '杰克·霍夫曼', '保罗·本-维克托', '斯蒂芬妮·库尔特祖巴', '莎伦·菲弗', '路易斯·坎瑟米', '茵迪亚·恩能加', 'J.C.麦肯泽', '巴里·普赖默斯', '吉姆·诺顿', '盖里·巴萨拉巴', '玛格丽特·安妮·佛罗伦斯', '约翰·斯库蒂', '约翰·塞纳迭姆博', '大卫·阿隆·贝克', '桃乐丝·麦卡锡', '凯文·凯恩', '加里·帕斯托雷', '约瑟夫·罗素', '凯文·奥罗克', '娜塔莎·罗曼诺娃', '杰里米·卢克', '凯莉·P·威廉姆斯', '詹妮弗·马奇', '保罗·鲍格才', '蒂姆·内夫', '斯蒂芬·梅尔勒', '克雷格·文森特', '比利·史密斯', '布莱斯·科里根', '斯泰西·爱丽丝·科恩', '吉诺·卡法雷利', '拉里·罗曼诺', '罗伯特·富纳罗', '维罗妮卡·阿利奇诺', '克劳黛特·拉利', '詹姆斯·洛林兹', '阿什莉·诺斯', '肯·斯拉迪克', '帕特里克·加洛']",['爱尔兰人 The Irishman'],"['剧情', '传记', '犯罪']",['8.8'],['185677'],[' 英语 / 意大利语 / 拉丁语 / 西班牙语']
[' 美国 / 加拿大'],['托德·菲利普斯'],['122'],[],"['华金·菲尼克斯', '罗伯特·德尼罗', '马克·马龙', '莎姬·贝兹', '谢伊·惠格姆', '弗兰西丝·康罗伊', '布莱恩·考伦', '布莱恩·泰里·亨利', '布莱特·卡伦', '道格拉斯·霍奇斯', '格伦·弗莱施勒', '比尔·坎普', '乔什·帕斯', '但丁·佩雷拉-奥尔森', '玛丽·凯特·马拉特', '迈克尔·本茨', '莎珑·华盛顿', '桑德拉·詹姆斯', '托尼·赫德', '曼德拉·贝拉米', '乔·奥克曼', '卡尔·伦德施泰特', '米克·奥罗克', '大卫·吉布森', '伊万·罗萨多', '安妮·比萨比亚', '布莱斯·科里根', '乔恩·道格拉斯·雷尼', '艾恩斯利·丹恩', '杰森·约翰·奇卡莱塞']",['小丑 Joker'],"['剧情', '惊悚', '犯罪']",['8.7'],['701598'],[' 英语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['666997'],[' 印地语 / 英语']
[' 中国大陆'],['曾国祥'],['135'],[],"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越', '黄觉', '张艺凡', '张耀', '张歆怡', '赵润南', '郜玄铭', '谢欣桐', '刘然', '何廖侣匀', '胖虎', '罗俊林']",['少年的你'],"['剧情', '爱情', '犯罪']",['8.3'],['1052636'],[' 汉语普通话']
[' 美国'],['莱恩·约翰逊'],['130'],[],"['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农', '唐·约翰逊', '托妮·科莱特', '勒凯斯·斯坦菲尔德', '克里斯托弗·普卢默', '凯瑟琳·兰福德', '杰登·马泰尔', '瑞琪·琳德赫姆', '艾迪·帕特森', '弗兰克·奥兹', 'K·卡兰', '诺阿·西甘', 'M·埃梅特·沃尔什', '玛琳娜·福特', '劳尔·卡斯提洛', '雪莉·罗德里格斯', '约瑟夫·高登-莱维特', '加布里埃尔·洛莱斯']",['利刃出鞘 Knives Out'],"['剧情', '喜剧', '悬疑', '犯罪']",['8.2'],['500756'],[' 英语 / 西班牙语']
[' 韩国'],['李元泰'],['109'],[],"['马东锡', '金武烈', '金成圭', '刘承睦', '崔民哲', '金胤成', '许栋元', '吴熙俊', '杨志洙', '金洁', '李恩泉', '刘在明']",['恶人传 악인전'],"['剧情', '动作', '犯罪']",['7.7'],['193200'],[' 韩语']
[' 中国大陆'],['柯汶利'],['112'],[],"['肖央', '谭卓', '陈冲', '姜皓文', '秦沛', '边天扬', '许文姗', '张熙然', '施名帅', '黄健玮']",['误杀'],"['剧情', '悬疑', '犯罪']",['7.7'],['536419'],[' 汉语普通话']
[' 韩国'],['李炳宪'],['111'],[],"['柳承龙', '李荷妮', '陈善圭', '李东辉', '孔明', '申河均', '吴政世', '许俊硕', '金义城', '宋英奎']",['极限职业 극한직업'],"['喜剧', '动作', '犯罪']",['7.7'],['117619'],[' 韩语 / 汉语普通话 / 英语 / 日语']
[' 挪威 / 冰岛 / 美国'],['保罗·格林格拉斯'],['143'],"['09', '10']","['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']",['挪威7·22爆炸枪击案 22 July'],"['剧情', '历史', '犯罪']",['7.5'],['8854'],[' 英语']
