地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 芬兰 / 挪威'],"['裘索·拉提欧', '尤加·维迪葛伦']",['92'],['03'],"['托尔斯坦·比约克朗德', '安蒂·希海基宁', '维尔·希尔卡', '约翰内斯·霍洛佩宁', '萨穆利·贾斯基奥', '明卡·库斯顿', '凯·莱蒂宁', '皮霍·朗卡', '锡尼卡·莫克尔拉', '麦克斯·奥瓦斯卡', '佩尔蒂·斯维霍姆', '马尔蒂·斯利亚', '威利·蒂奥宁']",['重金属囧途 Hevi reissu'],"['喜剧', '音乐']",['7.7'],['8126'],[' 芬兰语 / 英语 / 挪威语']
[' 印度'],['卓娅·阿赫塔尔'],['153'],[],"['兰维尔·辛格', '阿莉雅·布哈特', '希坦特·查杜尔韦迪', '维贾伊·拉齐', '阿姆鲁塔·苏巴什', '维杰·维玛', '卡琪·柯切林', '伊赫拉·克汗', '谢巴·查达', '乔蒂·苏巴', '拉胡尔·皮斯克', '纳库尔·萨赫德娃', '舒蒂·乔汉', '艾西瓦娅·德赛', '库布拉·萨特', '索纳利·萨查德夫']",['印度有嘻哈 गली बॉय'],"['剧情', '音乐']",['7.5'],['3926'],[' 印地语']
[' 美国'],['布莱德利·库珀'],['135'],"['08', '10']","['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']",['一个明星的诞生 A Star Is Born'],"['剧情', '爱情', '音乐']",['7.3'],['97451'],[' 英语']
[' 英国 / 美国 / 加拿大'],['德克斯特·弗莱彻'],['121'],[],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什', '查理·罗', '哈丽特·瓦尔特', '维克托里娅·菲斯', '杰玛·琼斯', '汤姆·班尼特', '朱利安·费罗', '莱顿·威廉姆斯', '基特·康纳', '卡米尔·雷米泽斯基', '贝恩·科拉科', '齐亚德·阿巴扎', '伊斯雷尔·鲁兹', '拉斯科·阿特金斯', '格雷厄姆·弗莱彻-库克', '史蒂威·戴维斯']",['火箭人 Rocketman'],"['剧情', '同性', '音乐', '传记']",['7.2'],['15627'],[' 英语']
[' 日本'],['盐田明彦'],['116'],[],"['小松菜奈', '门胁麦', '成田凌', '筱山辉信', '松本真里香', '新谷YUZUMI', '日高麻铃', '青柳尊哉', '松浦祐也', '筱原友希子', '槙田雄司']",['再见，嘴唇 さよならくちびる'],['音乐'],['7.1'],['4603'],[' 日语']
[' 日本'],['石川庆'],['118'],[],"['松冈茉优', '松坂桃李', '森崎温', '铃鹿央士', '臼田麻美', '千惠巳知惠美', '福岛莉拉', '真岛秀和', '片桐入', '光石研', '平田满', '齐藤由贵', '鹿贺丈史']",['蜜蜂与远雷 蜜蜂と遠雷'],"['剧情', '音乐']",['6.6'],['1856'],[' 日语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 芬兰 / 挪威'],"['裘索·拉提欧', '尤加·维迪葛伦']",['92'],['03'],"['托尔斯坦·比约克朗德', '安蒂·希海基宁', '维尔·希尔卡', '约翰内斯·霍洛佩宁', '萨穆利·贾斯基奥', '明卡·库斯顿', '凯·莱蒂宁', '皮霍·朗卡', '锡尼卡·莫克尔拉', '麦克斯·奥瓦斯卡', '佩尔蒂·斯维霍姆', '马尔蒂·斯利亚', '威利·蒂奥宁']",['重金属囧途 Hevi reissu'],"['喜剧', '音乐']",['7.7'],['8126'],[' 芬兰语 / 英语 / 挪威语']
[' 印度'],['卓娅·阿赫塔尔'],['153'],[],"['兰维尔·辛格', '阿莉雅·布哈特', '希坦特·查杜尔韦迪', '维贾伊·拉齐', '阿姆鲁塔·苏巴什', '维杰·维玛', '卡琪·柯切林', '伊赫拉·克汗', '谢巴·查达', '乔蒂·苏巴', '拉胡尔·皮斯克', '纳库尔·萨赫德娃', '舒蒂·乔汉', '艾西瓦娅·德赛', '库布拉·萨特', '索纳利·萨查德夫']",['印度有嘻哈 गली बॉय'],"['剧情', '音乐']",['7.5'],['3926'],[' 印地语']
